Serial No.,Name of the Project,Project Activity,Name of the Contact Person,Sector,Address Line.1,Address Line.2,Address Line.3,Telephone,Fax,Email
514,ECO - TECH CREATE 21 COMPANY (PVT) LTD.,GROW HERBAL PLANTS INCLUDING KOTHALAHIMBUTU,M.B.JANAKA PRIYARANJANA,Agriculture,"298/B YATIYANA,",MINUWANGODA.,,0112283320 / 0773344653,112283340,janakac21@gmail.com
515,ECO FRIENDLY POWER DEVELOPERS (PVT) LTD.,TWO MINI HYDRO POWER PLANTS-1.5 MW. & 1.28 MW.,SRIMALI PERERA,Utilities,NO. 278,"ACCESS TOWER,UNION PLACE,",COLOMBO 02,"011-2302302,011-2304652",011-2302333,srimali@access.lk
516,ECO HOMES LANKA (PVT) LTD.,CONSTRUCT  HOUSES,ROMESH K MUTHIAH,Infrastructure,NO. 208 B,KAMATHAWATTA ROAD,RAJAGIRIYA,2882123,2882343,rameshs@ecohomeslanka.com
517,ECO PAPERS (PVT) LTD.,KRAFT PAPER & NEWS PRINT,RANJITH RANASINGHE,Manufacturing,"NO. 257, GRANDPASS ROAD",COLOMBO 14,,703053802,112498314,ranjithr@cps.edna.lk
518,ECO POWER (PVT) LTD.,20.27 MW  MINI HYDRO POWER PLANTS,MR M F M ISMAIL - GENERAL MANAGER,Utilities,"NO. 153,","NAWALA RD,",NARAHENPITA.,4513470-2,4-513470-2,firdowsy@ecopower.lk
519,ECO POWER (PVT) LTD. - EXP1,MINI HYDRO POWER PLANT,RANATUNGE,Utilities,,,,584270,,
520,ECO POWER (PVT) LTD. - EXP2,MINI HYDRO POWER PLANT,DR. ROMESH DIAS BANDARANAIKE,Utilities,,,,074-513471-2,,
521,ECO POWER (PVT) LTD. - EXP3,MINI HYDRO POWER PROJECT,DR. ROMESH DIAS BANDARANAIKE,Utilities,,,,4513470-2,4513470-2,
522,ECO TRANSFER PRINTS (PVT) LTD.,HEAT TRANSFER LABELS,ANSHAF MOHAMED,Apparel,"638 638/2,","HIGH LEVEL ROAD,","GANGODAWILA,",+94 11 7 547 547,+94 11 2 817 292,accounts@everlightsl.com
523,ECODE LANKA SOFTWARE (PVT) LTD.,SOFTWARE,VINDYA SARANGI,Knowledge Services,"10 1/3 & 1/4 , PRINCE ALFRED TOWER",ALFRED HOUSE GARDENS,COLOMBO 3.,"2598236, 4519977",2587876,vindya@aexis-medical.lk
524,ECONOPACK INDUSTRIES (PVT) LTD.,CORRUGATED CARTONS,M H A RIZWAN,Manufacturing,"NO 101 NEW GALLE ROAD , GALTUDE",BANDARAGAMA,,038-2289901/02/03,038-2289904/05,riz@econopackltd.com
525,EDEN FRESH PRO - PAC (PVT) LTD.,STORE LOCALLY PRODUCED AGRO BASED FOOD PRODUCTS FOR EXPORT,MRSDAWN AUSTIN,Agriculture,"NO.129, REID AVENUE",COLOMBO 04,,077 7732234,011 4407104,dawn@nidro-lanka.lk
526,EDEN HOTEL LANKA LTD.,5 STAR BEACH HOTEL - 158 ROOMS,JEEWANTHA PERERA,Tourism & Leisure,"NO. 100,","SRI JAYEWARDHANE MAWATHA,",RAJAGIRIYA.,777593537,112865606,JeewanthaP@lankaorix.com
527,EDGENG (PVT) LTD.,FIBRE GLASS RE-ENFORCED PLASTIC PRODUCTS,DAMIAN GANEGODA - DIRECTOR,Manufacturing,LOT NO. 28,BEPZ,BIYAGAMA.,0112487107/9,2487107,dg@edgeng.com
528,EDNA COCOA PRODUCTS (PVT) LTD.,PROC. COCOA BEANS & DERIVATIVES FROM COCOA SEEDS,WARUNA BUWANEKA - GM (INTL. OPERATIONS),Agriculture,NO. 257,GRANDPASS RD.,COLOMBO 14.,2498200,2472628,waruna@edna.lk
529,EDOTCO SERVICES LANKA (PVT) LTD.,PROVIDE INFRASTRUCTURE SER. FOR THE TELECOMINICATION INDUSTR,MOHAN VILLAVARAYAN,Utilities,"NO.475,","UNION PLACE,",COLOMBO 02,087-414073,87413281,
530,EDUKO LANKA (PVT) LTD.,CONDUCT EDUCATION PROGRAMMED OF MONASH UNIVERSITY IN AUSTRAL,MS.NISHANI DE SILVA,Knowledge Services,"LEVEL 05, SINO LANKA TOWERS ""A""","503, SRI JAYAWARDENAPURA MAWATHA,",RAJAGIRIYA,0766 313 444,0112 870 123,nishani@ucl.lk
531,EDULINK INTL. (PVT)LTD.,HIGHER EDUCATION INSTITUTE,KANISHKA WEERAMUNDA,Knowledge Services,"TRILLIUM RESIDENCIES,",2/6/2004,153 ELVITIGALA MAWATHA,777702000,,kanishka.w@edulink.edu.lk
532,EL - TORO ROOFING PRODUCTS LTD.,ROOFING PRODUCTS FOR THE LOCAL MARKET,A M WEERAMAN,Manufacturing,NO. 752,BASELINE RD.,COLOMBO 09,011 2698037,011 2667267,headoffice@eltoro.lk
533,EL STEEL LTD.,STEEL ENCLOSURES/PANELS,CHANDANI GUNASEKARA - ACCOUNTANT,Manufacturing,ELSTEEL LTD.,"SPUR ROAD 2, E.P.Z",KATUNAYAKE.,2259333,2252698,chandani@elsteel.com
534,EL STEEL LTD. - EXP1,STEEL ENCLOSURES/ELE. PANELS,H M N T HERATH - ASST.PRODUCTION MANAGER,Manufacturing,,,,0812-422423,0812-422424,kandy@elsteel.com
535,ELASTOMERIC ENGINEERING CO. LTD,"SOLID RUBBER TYRES & WHEELS,MFG HUB CAPS",WASANTHA BANDARA - MANG. ACCOUNTANT,Manufacturing,"371 , COLOMBO  RD.",PILIYANDALA.,,4216627,4212758,wasantha@elastomeric.lk
536,ELASTOMERIC ENGINEERING CO. LTD. - EXP1,WAREHOUSING COMPLEX,ROGER B JONSSON - MANAGING DIRECTOR,Services,,,,4-212722.,2518525,
537,ELECTROTEKS GLOBAL NETWORKS (PVT) LTD.,SATELLITE BASED NETWORK,B A C ABEYWARDANA - MANAGING DIRECTOR,Utilities,NO. 94,TEMPLERS RD.,MOUNT LAVINIA.,"0777 373154, 4213980",4213980,abey@electroteks.com
538,ELECTROTEKS GLOBAL NETWORKS (PVT) LTD.,MULTIMEDIA SATELLITE TRAN. N/W,B A C ABEYWARDANA,Utilities,NO. 68,ATTIDIYA RD.,RATMALANA,114213771,011-4013980,abey@electroteks.com
539,ELECTROTEKS NETWORK SER. (PVT) LTD.,TELECOM NETWORK,B A C ABEYWARDANE - MANAGING DIRECTOR,Utilities,NO. 68,ATTIDIYA RD.,RATMALANA.,"2637430, 4213771",2605104/4213980,abey@electroteks.com
540,ELEGANCE MFG. & TRADING INTL. (PVT) LTD.,GARMENTS,PRADEEP PERERA,Apparel,"NO. 37, KAMMALWATTE ROAD",SEEDUWA,,"7,539,980,870,773,910,000",,pradeep.perera@eleganceint.com
541,ELEGANT KNITTING (PVT) LTD.,"SURGICAL CUFFS, NON QUOTA GARMENTS",HARSHANI FERNANDO,Apparel,"202 , CANAL RD.","ELAKANDA , HANDALA",WATTALA.,"2945935, 0775300187",2945935,accounts@eleganknitting.com
542,ELEMENTS (PVT) LTD.,WATER SPORTS COMPLEX - 6 VILLAS,MR. L. JEYATHARAN (ACCOUNTANT),Tourism & Leisure,"NO. 22/2, 1/1, PERERA MAWATHA,",KALUBOWILA.,DEHIWELA,"7,184,332,092,812,990",2812996,finance@elements-resort.com
543,ELPHIS LANKA (PVT) LTD.,GARMENTS,MR.W.UDAYA KUMARA-CEO,Apparel,"144/9, EKALA",JA-ELA,,011-5377798/075-0111866,2237459,udaya@eliphis.com
544,ELPITIYA DIANHONG JIN YA TEA CO. (P) LTD,CULTIVATE&PROC. OF CHINESE SPECIALTY TEA,RUWAN NISSNKA,Manufacturing,"LEVEL 9, AITKEN SPENCE TOWER I","NO. 305, VAUXHALL ST.",COLOMBO 02,114963000,011 4693030,nissanka@elpitiya.com
545,ELYON COLOMBO (PVT) LTD.,SET UP A 60 ROOMED CITY HOTEL AT COLOMBO-05,HARITH MALLAWAARACHCHI,Tourism & Leisure,"PYXLE BUSINESS CENTER,","98 HAVELOCK ROAD,",COLOMBO-05,077 7639276,011 2581217,harith@pyxle.net
546,EMBODY TRADING (PVT) LTD.,KNITTED FABRIC,MS.HIMANI WIRASEKARA - GENERAL MANAGER,Apparel,COURTAULDS CLOTHING LANKA P LTD,PALUGAHAWELA,KATUWELLEGAMA,011-4837823/077-5226772,2298888,himaniw@ccl.com
547,EMDEE EXPORTS (PVT) LTD.,GARMENTS,MR.RANJAN DE SILVA -CEO,Apparel,NO. 27,KALYANI MW.,WATTALA,0777 327324,034 2223024,ranjandes@emdeesl.com
548,EMJAY INTERNATIONAL (PVT) LTD.,READY MADE GARMENTS,POSHITHA BATUWATTA,Apparel,NO. 341/5,KOTTE RD.,RAJAGIRIYA.,114409600,4409663,poshithab@emjayi.com
549,ENERGY GENERATORS (PVT) LTD.,2 MW MINI HYDRO POWER PROJECT,MR.ASELA SAMARASINGHE - ACCOUNTANT,Utilities,"NO.69,","JANADHIPATHI MAWATHA,",COLOMBO 01,011-2336343/011-4723995,011-2485741,cicupali@sltnet.lk
550,ENERGY RECLAMATION (PVT) LTD.,HYDRO POWER- 0.8 MW,L.A.L R HEWAGAMA,Utilities,NO. 334,T.B. JAYAH MW.,COLOMBO 10.,2697151-6 EXT- 277,2430127,lalith@windforce.lk
551,EOAS BIO EXTRACTS (PVT) LTD.,"CULTIVATE SPICES, SANDALWOOD & HERBS",D A PERERA,Agriculture,NO. 34/3,LUMBINI AVE.,RATMALANA,2722223,2732085,eoas@sltnet.lk
552,EOAS ORAGANICS (PVT) LTD.,CULTIVATION & PROCE. OF SPICES,D A PERERA - MANAGING DIRECTOR,Agriculture,34/3,LUMBINI AVENUE,,2722223/2722203,114209474,eoas@sltnet.lk
553,EPIC TECHNOLOGIES (PVT) LTD.,DEVELOP SOFTWARE & RELATED SERVICES FOR EXPORT,T.M.P.M.THAWALAMPITIYA,Knowledge Services,"NO. 158/1A,","KADUWELA ROAD,","THALANGAMA,",011-2887787,011-2887727,manjula@epiclanka.net
554,ESCAS OWALA (PVT) LTD.,2.8MW MINI HYDRO POWER PLANT,MS ANUSHKA GUNARATNE,Utilities,ST ANTHONY`S HOMEMART BUILDING,"456, 2ND FLOOR, NAWALA ROAD",KOSWATTA,011 2869968,011 2869825,accountant@escas.lk
555,ESIKA (PVT) LTD.,RECYCLE WASTE MATERIAL & TSP,P M PETER ROBINSON,Manufacturing,"NO: 67A, BEPZ,",BIYAGAMA,,112465280,2341926,esika@ebceylon.com
556,ESKIMO FASHION KNITWEAR (PVT) LTD.,"GLOVES/MITTENS,HATS/CAPS,HEAD BANDS,SHAWLS,BABYSHOES,EAR-BAG",LAKSHAN KUMARASINGHE,Apparel,"NO. 44/16 , BASELINE RD.",KADIRANA NORTH,NEGOMBO.,031-2555555,031-2238216,lakshan.kumarasinghe@eskimo.lk
557,ESKIMO FASHION KNITWEAR (PVT) LTD.-EXP,"GLOVES/MITTENS,HATS/CAPS,HEAD BANDS,SHAWLS,BABYSHOES,EAR-BAG",JOE PERERA - COMMERCIAL MANAGER,Apparel,,,,031-2233713,0315-311677,joe@eskimo.lk
558,ESKIMO FASHION KNITWEAR (PVT) LTD.-EXP 3,GARMENT ACCESSORIES,MANIK SANTIAPILLAI,Apparel,P O BOX 30,NEGOMBO,,"031 2233715, 031 5555555",031 2238216,manik@eskimo.lk
559,ETISALAT LANKA (PVT) LTD.,CELLULAR MOBILE TEL. SERVICE,M. RIYAAZ RASHEED,Utilities,"ETISALAT LANKA (PVT) LIMITED,","NO.109, GALLE ROAD,",-,072-2282828,,riyaazr@int.etisalat.lk
560,EU-RETEC (PVT) LTD.,RECYCLED INDUSTRIAL TYRES,C J B R FERNANDO,Manufacturing,NO. 349/5,"PALATHOTA ROAD, NAGODA",KALUTARA.,034-4947979,034-2222473,rasika@euretec.com
561,EU-RETEC (PVT) LTD. - EXP1,SOLID TYRES,M A ABEYRATNE,Manufacturing,,,,071-723105,,
562,EURO LANKA ENERGIES (PVT) LTD.,350KW HYDRO POWER PLANT,W N K WADUGE,Utilities,"NO.162/114,","NILMINI UYANA, MADALA,",AVISSAWELLA.,777599106,362233997,eurolanka.hydro@yshoo.com
563,EUROFIBRE LANKA (PVT) LTD.,"SORTING,GRADING &BALING FABRIC,EXPORT CLEANING TOWELS",LESTEX JAYASINGHE - MANAGING DIRECTOR,Apparel,NO. 94/1,MAKOLA RD.,KIRIBATHGODA.,2908847/830254,2830254,eurolanka@stmail.lk
564,EUTECH CYBERNETIC LANKA (PVT) LTD.,COMPUTER SOFTWARE,S D KULAMANNAGE,Knowledge Services,"8/8, GREGORY`S ROAD,",COLOMBO 07,,0112678601-5,112687470,shashika@ecyber.com
565,EVEREST INDUSTRIAL LANKA (PVT) LTD.,ASSEMBLE/MFG. REFRIGERATORS,SANJEEWA SAMARASINGHE,Manufacturing,"NO. 101, PHASE III",K.E.P.Z.,KATUNAYAKE.,7389351(EXT 111),2260063,accounts3@everestlanka.com
566,EWIS COLOMBO LTD,"MFG. & ASSEMBLE DESKTOP, NOTEBOOK COMPUTERS, PRINTERS",MURALI KANAGARAJAN,Manufacturing,METHODIST CENTRAL BLDG.,"# 252, GALLE RD.",COLOMBO 03,"0117520520, 077 3428455","0112867930, 0112447303",murali@ewisl.net
567,EXETEL COMMUNICATIONS (PVT) LTD.,CALL CENTER ACTIVITIES & BPO CO.,SHASHIKALA INDEEVARIE,Knowledge Services,"01ST FLOOR, ALNITAK BUILDING","NO. 752/5, DR. DANISTER DE SILVA MAWATHA",COLOMBO 09,112673480,,slaccounts@exetel.com.au
568,EXOTIC HORTICULTURE (PVT) LTD.,PROCESSING FRUITS & VEGETABLES,SAMADHI MUNASINGHE,Agriculture,NO. 310,"HIGH LEVEL RD., NAWINNA",MAHARAGAMA.,4310500 Ext-633,4310799,samadhi.rpk@arpico.com
569,EXPO BRAND PACKS (PVT) LTD.,"PRINTING,LABELING,PACKAGING MFG PLANT",MR. BEAUNO FERNANDO - DIREC. OPERATIONS,Manufacturing,NO. 24 A2,ALFRED PLACE,COLOMBO 03,0777 368967,4710687,nath@expo.lk
570,EXPO GLOBAL DISTRIBUTION CENTRE (P) LTD.,LOGISTICS HUB TO PROVIDE SER. FOR EXPORTERS/OFF SHORE COM.,SHAMREEN ASSEN,Services,LOT NO 117 SPUR ROAD 3 EPZ,KATUNAYAKE,SRI LANKA,779670078,114353010,shamreen.assen@egdc.com
571,EXPO INDUSTRIAL ENGINEERING (PVT) LTD.,"BICYCLE COMPONENTS,INDIRECT EXPORT",A S KURUKULASURIYA,Manufacturing,PHASE II,E.P.Z,KATUNAYAKE.,2253073,2252530,suresh@expo.lk
572,EXPO INDUSTRIAL PROD. (PVT) LTD.,PVC PRINTED POUCHES,N. GRATIEN FERNANDO - DIRECTOR,Manufacturing,"144/3, PICKERINGS RD.",KOTAHENA,COLOMBO 13.,2430968,2430969,expo@expo.lk
573,EXPO PROPERTY DEVELOPERS (PVT) LTD.,"APARTMENTS,SHOPS & OFFICE",N.GRATIEN FERNANDO-DIRECTOR,Infrastructure,NO. 144/3,PICKERINGS RD.,COLOMBO 13.,2430968,2430969,property@expo.lk
574,EXPOWORLD BUTTONS (PVT) LTD.,BUTTONS,J M BISROLHAFY,Apparel,"33 , 2/5 , 2 ND FLOOR","PLAZA COMPLEX , GALLE RD.",COLOMBO 06.,2507085,2507086,hofyabdeen@union-myco.com
575,EXPRESS LABELS (PVT) LTD.,LABELS,T.N. WIJEWARDENA - DIRECTOR,Apparel,"500, NAWALA RD.",RAJAGIRIYA.,,7390310,,us@mega.lk
576,EZZY SAILS LANKA (PVT) LTD.,WINDSURFING SAILS & ACCESSORIES,G A R SURANGA SILVA - ACCOUNTANT,Manufacturing,"PHASE I, RING RD. I",I.P.Z.,KATUNAYAKE.,"2254672 , 2255363",2254673,suranga@ezzy.com
577,F L C PROPERTIES (PVT) LTD.,OFFICE COMPLEX,LALIT E SENEVIRATNE,Infrastructure,NO. 23,HAVELOCK RD.,COLOMBO 05,"2584681, 071 2345833",255510,malit@sierra.lk
578,F.G.M. LANKA (PVT) LTD.,GARMENTS - NON QUOTA,MRS.INDRANI JAYAWARDENA - DIRECTRESS,Apparel,BEGIN HILL ESTATE,HETTIPOLA RD.,KULIYAPITIYA.,"037-2283315-18,077-7588702",037-2283314,indrani.jayawardane@fgmlanka.lk
579,FAGA TYRES (PVT) LTD.,SOLID TYRES,K.A.C.VIDYARATHNE,Manufacturing,"02,UDUGALLA ESTATE,",PARAGASTOTA,BANDARAGAMA,112620603,112620603,info@fagatyres.com
580,FAIR VIEW HOTEL (PVT) LTD.,CITY HOTEL - 45 ROOMS,G H R FERNANDO,Tourism & Leisure,NO. 236,GALLE RD.,COLOMBO 03,2343720,2391193,ghravi@sltnet.lk
581,FAIRWAY AVIATION ACADEMY (PVT) LTD.,FLYING SCHOOL,SAMINDA JAYASEKARA,Knowledge Services,NO. 100,BUTHGAMUWA RD.,RAJAGIRIYA,"7586588, 077 3000395",7586596,saminda @fairwayholdings.com
582,FAIRWAY CITY HOTEL (PVT) LTD.,210 ROOMED HOTEL AT COLOMBO-01(CITY HOTEL),SAMINDA JAYASEKARA,Tourism & Leisure,"NO:100,","BUTHGAMUWA ROAD,",RAJAGIRIYA,077 7586588/ 077 3000395,077 7586586,saminda@fairwayholdings.com
583,FAIRWAY CONDOMINIUMS (PVT) LTD.,HOUSING PROJECT,MR. HASITHA - ASS. MNGR. ADMIN,Infrastructure,NO. 107/15,BUTHGAMUWA RD.,RAJAGIRIYA.,077 3000395,,hasitha@faiwayholding.com
584,FAIRWAY SKYHOMES (PRIVATE) LIMITED,APARTMENT COMPLEX,MS.HASITHA IRANTHI PERERA-AS MANAGER AD.,Infrastructure,NO. 100,BUTHGAMUWA RD.,RAJAGIRIYA,0774448122/117586586/7586596,7586596,hasitha@fairwayholdings.com
585,FALCON VALLEY HYDRO (PVT) LTD.,2.4  MW MINI HYDRO POWER PROJECT,CHAMANTHI PERERA,Utilities,"NO. 12, DON KAROLIS RD.;",JAWATTA RD.,COLOMBO 05.,71442230,2590847,chamanthi@pantak.lk
586,FAMILY CARE HOSPITAL (PVT) LTD.,CONSTRUCT & OPERATE A HOSPITAL,DR. D D S WIJESOORIYA - MANAGING D.,Infrastructure,NAGODA RD.,KALUTARA.,,034-2229144,,familycare.kt@gmail.com
587,FANTASIA ELASTICS (PVT) LTD.,ELASTICATE & NON WOVEN FABRIC,MR.HAMEED ASHRAFF - MANAGING DIRECTOR,Apparel,7 POST MASTERS PLACE,OFF TEMPLERS RD.,MT. LAVINIA.,2728555 ext. 0204,2722957,hameed@fantasia.lk
588,FANTASIA ELASTICS (PVT) LTD. -1ST EXP.,ELASTICATE & NON WOVEN FABRIC,HAMEED ASHRAF - MANAGING DIRECTOR,Apparel,"NO. 17, SAMAGI MW.",BORUPANA,RATMALANA.,2622145,2605195,hameed@fantasia.lk
589,FANTASIA ELASTICS (PVT) LTD.-EXP. 2,LINGERIE ELASTICS,HAMEED ASHRAF - MANAGING DIRECTOR,Apparel,FANTASIA ELASTICS (PVT) LTD.,"NO. 17, SAMAGI MW., BORUPANA",RATMALANA.,2622145,2605195,hameed@fantasia.lk
590,FARMS PRIDE (PVT) LTD.,POULTRY FARM (CHICKEN),H.E.W.A. PIERIS - CHIEF OPERATONAL OFFIC,Agriculture,NO. 272,JAYAMALAPURA,GAMPOLA.,081-2350111,081-2350001,info@crysbro.net
591,FASCINATION EXP. (PVT) LTD.,GARMENTS,M.L.N. PRIYATILLAKE - MANAGING DIRECTOR,Apparel,"107, HUNUPITIYA LAKE RD.",COLOMBO 2.,,5700400,2472535,noel@fascination.lk
592,FAVOURITE GROWTH CAPITAL (PVT) LTD.,REGIONAL OPERATION HEAD QUARTER COMPANY,DENHAM SCHOKMAN,Services,"THE LANDMARK BLDG. , LEVEL 6","NO. 385, GALLE RD",COLOMBO 03.,"2374552, 0773261775",2370011,denham@favouritegroup.com
593,FERGASAM GARMENT IND. (PVT) LTD./COL13,GARMENTS,MR. A S ASHRAF,Apparel,FERGASAM GARMENT IND. (PVT) LTD.,"NO. 140 1/1, SRI RATHNAJOTHI","SARAWANAMUTHU MW., COLOMBO 13.",,,
594,FILM LANKA (PVT) LTD.,BUILDING COMPLEX,BUDDHI KEERTHISENA-CHIEF EXE. OFFICER,Infrastructure,"301 , MARADANA RD.",COLOMBO 10.,,5355056,2381776,buddhibk@sltnet.lk
595,FILOTEX LANKA (PVT) LTD.,ACRYLIC YARN & NYLON SPANDEX YARN,NADEESHA PEIRIS,Apparel,"PHASE 1,RING ROAD 2","IPZ, KATUNAYAKE",,-112260087,-112260090,nadeesha@filotexlanka.com
596,FINETEX (PVT) LTD.,HOSIERY,MR THUSITHA CHAMPIKA,Apparel,"NO 19,",INDUSTRIAL EASTATE,"JAPALAWATTA, MINUWANGODA",2281091-4,2281295,accounts@finetex.lk
597,FINLAY COLD STORAGE (PVT) LTD.,COLD STORAGE PROJECT,R RAJARATNAM - ACCOUNTANT,Services,"309/7 , NEGOMBO RD.",WELISARA.,,4828307,2249470,roshanr@finlay.lk
598,FINLAY COLD STORAGE (PVT) LTD.-EXPANSION,COLD STORAGE,C L K P JAYASURIYA - CHAIRMAN,Services,FINLAY HOUSE,"NO. 186, VAUXHALL ST.",COLOMBO 02,2436338,"2447138, 2448216",kumarj@finlays.lk
599,FINLAY PROPERTIES (PVT) LTD.,WAREHOUSING COMPLEX,THILINA JAYAWEERA -ACCOUNTATNT,Services,"309/6, NEGOMBO RD.",WELISARA.,,4828400,2234264,thilinaj@finlays.lk
600,FINLAY TEAS (PVT) LTD.,GREEN TEA.,THILINA JAYAWEERA,Manufacturing,"186,  VAUXHALL ST.",COLOMBO 2.,,4828416/2421931-7,2234264/2448216,thilinaj@finlays.lk
601,FITS AVIATION (PVT) LTD.,"CHARTER TOURS, FLYING SCHOOL,DOMESTIC AIR PASSANGER SERVICES",OMAR KAYAAM,Tourism & Leisure,"NO. 06, JOSEPH LANE",COLOMBO 04.,,0112555158/9,0112555169/70,omar.kayaam@aberdeenholding.co
602,FIVE STAR BROILER GROWERS (PVT) LTD.,POULTRY FARM,MR.  U. JAYAMANNA - FINANCE MANAGER,Agriculture,PULIYANKADAWARA,MIGUNUWATUNA,CHILAW,"032-4928305, 077-2303794",032-2246815,upendrakus@gmail.com
603,FIVE STAR BROILER GROWERS (PVT) LTD.-EXP,POULTRY FARM,LIONEL P FERNANDO,Agriculture,LM MANAGEMENT SERVICES (PVT) LTD.,"NO. 291/32 A, HAVELOCK RD.",COLOMBO 06.,"2504810-1, 2504760",2502376,imms291@slt.lk
604,FIVE STAR POULTRY PROCESSORS (PVT) LTD.,POULTRY PROCESSING PLANT,MR.  UPENDR JAYAMANNA - FINANCE MANAGER,Agriculture,DALUPOTHA ESTATE,DALUPOTHA,,"032-4928305, 077-2303794","032-2246815, 2502776",upendrakus@gmail.com
605,FIVESTAR APPARELS (PVT) LTD.,GARMENTS,MR.N GANESHALINGAM,Apparel,NO. 64/3,CANAL ROAD,HENDALA.,0777-308627,112079762,fivestarapparels@gmail.com
606,FLEXI PRINT (PVT) LTD.,TEA TAGS,RUSIRI COORAY -FINANCE MGR,Services,FLINTH INDUSTRIAL PARK,RANMUTHUGALA.,KADAWATHA,"268,423,826,696,872,000,000",2684828,finance@flexiprint.lk
607,FLINTEC TRANSDUCERS (PVT) LTD.,ELECTRONIC WEIGHING SYSTEMS,MANULA KALUHENDIWELA - FINANCE DIRECTOR,Manufacturing,P.O.BOX 24,"SPUR ROAD II, E.P.Z",KATUNAYAKE.,011-4-837700,011-2252142,office@flinteclk.com
608,FLINTEC TRANSDUCERS (PVT) LTD. - EXP1,ELECTRONIC SCALES & LOAD CELLS,MANULA KALUHENDIWELA - MANAGER(ADMIN),Manufacturing,,,,011-4837700,011-2252142,manula.k@flinteclk.com
609,FLINTH INDUSTRIAL PARK (PVT) LTD.,INDUSTRIAL PARK,MR.T.JAYAKUMAR,Infrastructure,"RANMUTHUGALA STATE,","RANMUTHUGALA,",KADAWATHA.,112972553,112972554,t.jayakumar@flinthpark.com
610,FLY SOUTHERN (PVT) LTD.,OPERATE LOCAL & INTERNATIONAL NON SCHEDULE PASSENGER AIRLINE,MR. KIIRTHI DISSANAYAKE,Tourism & Leisure,FLY SOUTHERN (PVT) LTD.,"LEVEL 4, NO. 26, VAJIRA ROAD",(ON DUPLICATION RD.) COLOMBO 04,0114323355/44,0711 003293,info@f;ysouthern.aero
611,FONTAINEBLEAU SIGIRIYA (PVT) LTD.,14 ROOMED HOTEL AT SIGIRIYA,MR.SHANKA DE SILVA,Tourism & Leisure,"258,GEORGE,","R DE SILVA MAWATHA,",COLOMBO-13,077 7421187,011 2572442,shan@davincilabels.com
612,FOODBUZZ (PVT) LTD.,"CONFECTIONERIES,FRUIT & BAKERY PRODUCTS",H. A. P.ANUSHA SANJEEWANI,Manufacturing,ROYAL RESIDENCIES,207- 4/2 DE SERAM PLACE,COLOMBO 10,774778901,,anusha@breadtalksrilanka.com
613,FORBES AND WALKER WAREHOUSING (P) L-EXP3,WAREHOUSE,SHARDHA SOSA,Services,FORBES AND WALKER WAREHOUSING (P) L,"NO. 46/38, NAWAM MW.",COLOMBO 02,,,
614,FORBES AND WALKER WAREHOUSING (PVT) LTD.,WAREHOUSE,SHARDHA SOSA - DIRECTOR  FINANCE,Services,"NO. 46/38, NAVAM MW.",P.O. BOX 60,COLOMBO 02.,4767350,2341765,shardha@forbeswalker.com
615,FORBES AND WALKER WAREHOUSING P LTD.-EXP,WAREHOUSE,MR. ASELA ANGAMMANA,Services,FORBES & WALKER WAREHOUSING P LTD.,"NO. 46/38, NAVAM MW.",COLOMBO 02,327961-7,2423284,
616,FORBES AND WALKER WAREHOUSING PLTD.-EXP2,WAREHOUSE,SHARDHA SOSA,Services,NO. 46/38,NAWAM MW.,COLOMBO 03,4767350,2341765,shardha@forbeswalker.com
617,FORTUNE AGRO INDUSTRIES (PVT) LTD.,CULTIVATE AND DRYING CORN TO MANUFACTURE,MR.SAFEEK SAMED,Agriculture,"NO:272,",JAYAMALAPURA,GAMPOLA,081 2350111,081 2350001,ss@crysbro.net
618,FORTUNE G - P FARMS (LANKA) LTD., POULTRY BREEDER FARM,A.C.M. IFHAAM - MANAGER (FINANCE),Agriculture,NO. 11,STATION RD.,COLOMBO 04.,2554550,2559362,acmi@sltnet.lk
619,FORTUNE PREMIER (PVT) LTD,60 ROOMED HOTEL,VERNON AMERASINGHE,Tourism & Leisure,"JETWING HOUSE, NO. 46/26",NAWAM MW.,COLOMBO 02,2375700 Ext 1316,2345729,accounts@jetwinghotels.com
620,FOUNDATION GAR. LTD./MAWATHAGAMA,GARMENTS,MR.A P T R THUSHARA -ACCOUNTANT,Apparel,NO. 168,MALANI BULATHSINGHALA MW,BORALESGAMUWA,077-3203979,011 2769088,tharakap@jinadasa.com
621,FRAMEWORK METAL PRODUCTS (PVT) LTD.,CEILING GRID,KOSALA,Manufacturing,NO. 637/2,SRIMAVO BANDARANAYAKE MW.,COLOMBO 14,2385406-7,2385403,kosala@jcexport.com
622,FREE PORT LOGISTICS (PVT) LTD.,WAREHOUSE,JANETH PITIPANAARACHCHI-ACCOUNTANT,Services,"NO. 87 , NUNGAMUGODA RD.",KELANIYA.,,"2910474,077-3012807",2910103,janeth.freeport@pership.com
623,FREE PORT LOGISTICS (PVT) LTD.- EXP 2,WAREHOUSE,T A WEERASURIYA,Services,NO. 87,NUNGAMUGODA RD.,KELANIYA,2910474,2910103,
624,FROSTAIRE PANELS (PVT) LTD.,POLYURETHANE PANELS & RELATED REFRIGERATION EQUIPMENTS,I A HANIFA,Manufacturing,NO. 102,UNION PLACE,COLOMBO 02,071 6860010,112437614,
